Group 1,Group 2,H,p-value,q-value
Control (n=10),Post (n=8),0.03157894736842337,0.8589549227374772,0.8589549227374772
Control (n=10),Pre (n=10),1.462857142857132,0.22647606604348455,0.6794281981304537
Control (n=10),Stress (n=10),0.05142857142857338,0.8205958397554376,0.8589549227374772
Post (n=8),Pre (n=10),2.0210526315789394,0.15513156872711104,0.6794281981304537
Post (n=8),Stress (n=10),0.03157894736842337,0.8589549227374772,0.8589549227374772
Pre (n=10),Stress (n=10),0.4628571428571391,0.49629170223109464,0.8589549227374772
