"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","diff_direction","diff_expr","Eccentricity","IsSingleNode","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"3.433333333333333","0.4045977011494253","0.29126213592233013","0.0","Coriobacteriaceae_Coriobacterium","2","0","0","6","false","","Unclustered","0.6666666666666666","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium","2.0","0","2","Coriobacteriaceae","0","0.8128205128205128","false","0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium","640","0.5","microbe"
"2.6333333333333333","0.5366283524904215","0.379746835443038","0.42424242424242425","Prevotellaceae_Alloprevotella","12","0","0","7","false","Cluster 1","Clustered","5.785714285714286","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella","7.0","0","12","Prevotellaceae","0","0.8743589743589744","false","0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella","930","0.4019607843137255","microbe"
"3.6","0.0","0.2777777777777778","0.0","Atopobiaceae_uncultured","1","0","0","8","false","","Unclustered","0.0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__uncultured","12.0","0","1","Atopobiaceae","0","0.8","false","0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__uncultured","0","0.0","microbe"
"7.033333333333333","0.0","0.14218009478672985","0.0","Lachnospiraceae_Tyzzerella","1","0","0","11","false","","Unclustered","0.0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella","2.0","0","1","Lachnospiraceae","0","0.5358974358974359","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella","0","0.0","microbe"
"3.066666666666667","0.009217296113847839","0.32608695652173914","0.8928571428571429","Barnesiellaceae_Barnesiella","8","0","0","8","false","Cluster 1","Clustered","5.5","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella","10.0","0","8","Barnesiellaceae","0","0.841025641025641","false","0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella","54","0.5555555555555556","microbe"
"3.6666666666666665","0.0","0.27272727272727276","1.0","Barnesiellaceae_Coprobacter","4","0","0","9","false","","Unclustered","4.0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter","11.0","0","4","Barnesiellaceae","0","0.7948717948717949","false","0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter","0","0.7857142857142857","microbe"
"4.566666666666666","0.06666666666666667","0.21897810218978103","0.0","Selenomonadaceae_Megamonas","2","0","0","10","false","","Unclustered","0.6666666666666666","d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas","2.0","0","2","Selenomonadaceae","0","0.7256410256410256","false","0","d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas","124","0.5","microbe"
"6.066666666666666","0.06666666666666667","0.16483516483516483","0.0","Ruminococcaceae_Subdoligranulum","2","0","0","10","false","","Unclustered","0.6666666666666666","d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum","2.5","0","2","Ruminococcaceae","0","0.6102564102564103","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum","94","0.5","microbe"
"3.6666666666666665","0.12873563218390804","0.27272727272727276","0.3333333333333333","Atopobiaceae_Olsenella","3","0","0","9","false","","Unclustered","2.0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella","8.333333333333334","0","3","Atopobiaceae","0","0.7948717948717949","false","0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella","244","0.6153846153846154","microbe"
"3.2","0.009425287356321841","0.3125","0.6666666666666666","Sutterellaceae_Sutterella","4","0","0","8","false","","Unclustered","3.0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella","10.25","0","4","Sutterellaceae","0","0.8307692307692308","false","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella","36","0.5694444444444444","microbe"
"1.0","0.0","1.0","0.0","Acidaminococcaceae_Phascolarctobacterium","1","0","0","1","false","","Unclustered","0.0","d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium","1.0","0","1","Acidaminococcaceae","0","1.0","false","0","d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium","0","0.0","microbe"
"4.5","0.3310344827586207","0.2222222222222222","0.3333333333333333","Peptococcaceae_Peptococcus","3","0","0","8","false","Cluster 2","Seed","2.0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus","2.6666666666666665","0","3","Peptococcaceae","0","0.7307692307692307","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus","504","0.4666666666666667","microbe"
"1.0","0.0","1.0","0.0","Atopobiaceae_Libanicoccus","1","0","0","1","false","","Unclustered","0.0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus","1.0","0","1","Atopobiaceae","0","1.0","false","0","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus","0","0.0","microbe"
"3.433333333333333","0.06049261083743842","0.29126213592233013","0.6071428571428571","Bacteroidaceae_Bacteroides","8","0","0","9","false","Cluster 1","Seed","6.0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","8.375","0","8","Bacteroidaceae","0","0.8128205128205128","false","0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","226","0.5234375","microbe"
"3.0","0.04186097427476736","0.3333333333333333","0.7222222222222222","Bifidobacteriaceae_Bifidobacterium","9","0","0","8","false","Cluster 1","Clustered","5.5","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium","9.222222222222221","0","9","Bifidobacteriaceae","0","0.8461538461538461","false","0","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium","138","0.4853801169590643","microbe"
"5.166666666666667","0.2482758620689655","0.1935483870967742","0.16666666666666666","Lachnospiraceae_Syntrophococcus","4","0","0","9","false","Cluster 2","Clustered","2.0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Syntrophococcus","2.25","0","4","Lachnospiraceae","0","0.6794871794871794","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Syntrophococcus","360","0.35","microbe"
"1.0","0.0","1.0","0.0","Enterobacteriaceae_Escherichia-Shigella","1","0","0","1","false","","Unclustered","0.0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella","1.0","0","1","Enterobacteriaceae","0","1.0","false","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella","0","0.0","microbe"
"5.3","0.0","0.18867924528301888","1.0","Lachnospiraceae_Blautia","2","0","0","9","false","Cluster 2","Clustered","2.0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia","3.5","0","2","Lachnospiraceae","0","0.6692307692307692","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia","0","0.7","microbe"
