Sample_ID	643	671	745	915	680	940	1028	1075	1124	1161	1192	1223	641	676	711	920	677	748	794	958	843	1087	1160	1189	751	829	877	1024	764	816	875	1022	640	667	716	970	790	1026	1097	1140
Condition	Pre	Stress	Post	Control	Control	Pre	Stress	Post	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Control	Pre	Stress	Post	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Control	Pre	Stress	Post
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.011903671824924458	0.012392490520669564	0.003849443969204448	0.009644301565902727	0.0037607449856733523	0.0	0.0	NaN	0.019836272040302267	0.015446574225122349	0.01181740614334471	0.017752499138228198	0.018502438046890654	0.014536015574302402	0.0028859013162525517	0.02837948999177406	0.018878349755962795	0.02063546883094457	0.0047952431188261245	0.020446701829784465	0.003228968459897365	0.016055217945832395	0.0013629781071641536	0.043468404647208844	0.030839002267573697	0.0028748341441839896	NaN	0.0015171850382213923	0.002782212086659065	0.0018110894399554194	0.013631090487238979	0.0	0.008727074384673076	0.005397819281010472	0.005336014229371278	0.004384042086804033	0.002362035645265192	0.0016832318050657262	0.02841130604288499	0.00843547224224946
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.04120501785550774	0.0038842134467770278	0.001176218990590248	0.01845898579280307	0.08315425023877746	0.0	0.0	NaN	0.0	0.0011725122349102773	0.00021331058020477816	0.0002872572676088705	0.0	0.0	0.0009150418807630042	0.0	0.0	0.0016404766016232084	0.0	0.0	0.0031136481577581734	0.017630729987245856	0.0	0.013573250212524795	0.0	0.0021008403361344537	NaN	0.0003501196242049367	0.05669327251995439	0.0	0.0069605568445475635	0.042779538252602986	0.0077043703552192	0.0025909532548850263	0.0004640012373366329	0.0017536168347216134	0.005153532316942238	0.018756011542160948	0.007358674463937622	0.005191059841384283
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.0	0.0	0.0	0.0	0.0005372492836676218	0.0	0.0	NaN	0.0	0.0022430668841761825	0.0014931740614334472	0.0031598299436975757	0.004141339923852782	0.0	0.0007038783698176955	0.004867013984096518	0.004144027995211345	0.006043861163874978	0.0008631437613887024	0.009376831412385232	0.0	0.0	0.0002555583950932788	0.0	0.007029478458049887	0.0	NaN	0.0002917663535041139	0.0008665906499429874	0.006408470325996099	0.013631090487238979	0.0	0.0020454080589077522	0.011767246032602829	0.004949346531590751	0.0	0.0	0.0	0.00034113060428849905	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus	0.0	0.003051881993896236	0.0	0.0	0.0	0.006227758007117438	0.0	NaN	0.0	0.00632137030995106	0.008617747440273037	0.003389635757784672	0.0011355286887983435	0.0	0.0009150418807630042	0.0	0.0022101482641127177	0.0044897254360214125	0.0017262875227774049	0.0018883896594386925	0.003920890272732514	0.0006752194463200541	0.007240821194309566	0.003230376877302352	0.002380952380952381	0.0011057054400707652	NaN	0.008286164439516835	0.002827822120866591	0.0015324602953468932	0.0013051044083526682	0.0	0.0015681461784959434	0.002267084098024398	0.0	0.0	0.0038114666094051963	0.0016030779095864058	0.007456140350877193	0.0038211968276856524
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	0.003296401428440619	0.008878202164061778	0.0020316509837467922	0.000725915171627087	0.0002984718242597899	0.0	0.0	NaN	0.0	0.0006117455138662316	0.0004692832764505119	0.0008617718028266115	0.0002003874156702959	0.0	0.0	0.0	0.010314025232526015	0.02037644620963564	0.00014385729356478373	0.006381454711206616	0.00011532030213919161	0.00495160927301373	0.0	0.013856616605270615	0.0010204081632653062	0.0	NaN	0.0	0.0	0.0	0.0007250580046403712	0.0	0.000340901343151292	0.002698909640505236	0.0	0.0	0.0011273351943311145	0.0001603077909586406	0.011744639376218323	0.0004325883201153569
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.002289167658639319	0.018958660871173587	0.005774165953806672	0.0026962563517577516	0.0013729703915950334	0.005782918149466192	0.0	NaN	0.0025188916876574307	0.026356035889070147	0.025938566552901023	0.0032172813972193496	0.0016698951305857991	0.0022063595068137574	0.0017596959245442388	0.001782286811077598	0.0043282070172207384	0.0074253151441892595	0.0013426680732713148	0.002344207853096308	0.008764342962578562	0.002925950934053567	0.0035778175313059034	0.010116180221025787	0.0045351473922902496	0.05827067669172932	NaN	0.016689035420435316	0.002371721778791334	0.0	0.0	0.0	0.0	0.0	0.005722681927151806	0.0	0.00751556796220743	0.0	0.0152046783625731	0.006777217015140591
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.08827030491713213	0.09516322944603718	0.1661676646706587	0.19651560717619	0.33655682903533907	0.8945729537366548	0.7403200826019618	NaN	0.32965994962216627	0.2460236541598695	0.2995307167235495	0.43421808571756865	0.4566161245073809	0.3693705386112914	0.554374604068417	0.35817109953386345	0.4590662123584124	0.3590916940079434	0.43770979188644865	0.36784528228169566	0.41959291933344867	0.3530647460424638	0.6762075134168157	0.23539246245395296	0.3574829931972789	0.28217602830605926	NaN	0.4312890237497812	0.5211858608893957	0.516439119531903	0.4047273781902552	0.3939565414214577	0.35787823004022634	0.24290186764547123	0.4055370814322172	0.5922840859272249	0.38152243933863	0.4336325745431228	0.29678362573099415	0.4658255227108868
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	0.0	0.00027744381762693056	0.0	0.0015555325106294722	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0002003874156702959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
