Sample_ID	643	745	915	680	940	1075	1124	1192	1223	641	711	920	677	794	958	843	1087	1189	751	877	1024	764	875	1022	640	716	970	790	1026	1140
Histidine	0.3941415341454203	-0.03812702449528288	-0.35601450965013964	2.0871707637090586	-0.966069516601603	-1.121101247107455	0.0916462495602922	-0.09164624956029492	2.343835270032895e-15	-0.4099392822448625	1.106463637857975	-0.6965243556131123	-0.6029207754739937	1.4150497905180852	-0.8121290150440911	0.41623870796546564	0.170974723392315	-0.5872134313577798	-0.5183204015659915	-0.5520621407479465	1.0703825423139381	-0.08447748088921818	-0.7574856939297423	0.8419631748189603	0.27108175999160455	-0.04936062672070786	-0.22172113327089657	1.7898707322308194	-0.9698267006742346	-0.8200440315565852
Taurine	-0.23929594055939776	0.11357312456232388	0.1257228159970717	2.2025654187087484	-1.7750488184024642	-0.42751660030628413	-0.3051889152361043	0.3051889152361017	2.898904260678643e-15	-1.678312275015984	2.8060280382399845	-1.1277157632240002	-1.088912342118944	2.3070855252398235	-1.2181731831208786	2.7014860548776705	-1.327836898223229	-1.373649156654441	-1.0254259754065809	-1.5672268948224208	2.5926528702290024	-1.4991940197903302	-0.26683835934298783	1.7660323791333183	-0.02030233312169419	0.24417275586109471	-0.22387042273940053	2.789360458965276	-1.4018133090436606	-1.3875471499216159
Serine	0.3005798735977007	-0.5673406668851771	0.2667607932874762	-0.36939412437715446	0.3278189268958683	0.04157519748128621	-0.11587776734419951	0.11587776734419857	1.0105010995737573e-15	0.1804509413154805	-0.14839892880236172	-0.032052012513119066	0.14640057992303102	-0.08092728285260693	-0.06547329707042411	-0.15770905876948862	0.1580610846143957	-0.0003520258449070902	0.1795092903399683	0.19986093314605	-0.37937022348601823	-0.13855669918348001	0.5471750698367914	-0.40861837065331114	-0.1642566754462566	-0.04574776562396163	0.2100044410702183	-0.1724222933613677	0.19698443987080605	-0.024562146509438252
Glutamine	-0.051011557791778205	-0.07787217933870229	0.1288837371304796	0.827720977430072	-0.32914994355996324	-0.49857103387010876	-0.07851725460249037	0.0785172546024894	1.0509870264703648e-15	-0.3353227983475998	1.5074505334490083	-1.1721277351014079	-0.4156524371395932	0.7817098249848191	-0.3660573878452259	0.2662158584174888	-0.004703037169616812	-0.26151282124787206	-0.1516001785981295	-0.058876060780274894	0.21047623937840462	-0.037348940613357216	0.0657729680306081	-0.028424027417250666	0.23869840807626352	0.06501450085832446	-0.303712908934588	0.28278286572093364	-0.20945202488506606	-0.07333084083586763
Arginine	0.1739954688730473	-0.08913408674620908	-0.08486138212683929	0.9410116739520721	-0.34947373165980133	-0.5915379422922707	-0.09984905662846554	0.09984905662846412	1.3496079018057995e-15	0.06893770148395069	-0.034468850741975296	-0.03446885074197524	0.13844811170964588	0.09289453829684424	-0.2313426500064899	-0.15470336345536967	0.3456011442262818	-0.190897780770912	-0.13293791961763074	-0.06420203726152317	0.19713995687915417	0.6473202357323105	-0.2844188281852907	-0.3629014075470196	0.3576567723053248	-0.21363291775507712	-0.1440238545502477	0.23176604674634238	0.007333783626651755	-0.23909983037299443
Glycine	0.6557201486537493	-0.6015250798404734	-0.05419506881327691	0.34344866288912895	-0.06185255504571325	-0.28159610784341566	-0.02949349930003021	0.02949349930002825	1.908973138879861e-15	0.031153297454102204	0.39803160400682913	-0.4291849014609313	0.09857671435914629	-0.029249679081182874	-0.06932703527796341	-0.17870025938050155	0.21209100155174393	-0.0333907421712425	-0.08625259670654814	0.18687494435914218	-0.10062234765259379	0.033847444956777585	0.39265835447504777	-0.42650579943182504	-0.12817349356104038	0.013596013498017263	0.11457748006302326	-0.1666543728403323	0.12353935258392032	0.04311502025641212
Aspartic Acid	0.18727456478488275	-0.27485900173091066	0.08758443694602752	0.12926054858917893	-0.08153443174854286	-0.047726116840635935	0.06545665945942272	-0.0654566594594234	6.946679769496811e-16	0.3346727865759846	-0.04021798994358104	-0.2944547966324036	-0.05151235878379784	0.15805804828905312	-0.10654568950525524	0.32434823157719433	-0.19258933480458315	-0.13175889677261118	-0.08615981254661897	0.16258342926009997	-0.07642361671348086	0.17509798403615703	0.15288769477161337	-0.32798567880777035	-0.14160553489029568	0.31935150193612394	-0.17774596704582826	-0.05340497911155169	0.030001397314875944	0.02340358179667568
Threonine	0.5698545026328186	-0.4251163713393425	-0.14473813129347654	-0.3246142143560304	0.19226272600099642	0.1323514883550342	0.04995519925324946	-0.049955199253250204	7.242443917230624e-16	0.169495355935861	0.061064668250797	-0.23056002418665797	-0.04800097650216131	0.12615354385013733	-0.0781525673479761	-0.014029497789464896	0.21519349309238633	-0.20116399530292153	-0.101698148363836	0.18350019374567253	-0.08180204538183661	0.360438745898075	0.0842185225921546	-0.44465726849022963	0.05413529777710381	-0.16156328623856592	0.10742798846146208	-0.20493932099555132	0.07206424380666263	0.1328750771888888
Alanine	0.5686184883338856	-0.4940787996532916	-0.07453968868059441	-0.06997396587282853	0.026416702448137753	0.04355726342469045	0.056010856251129545	-0.056010856251130725	1.0432996694209097e-15	0.15060173285492373	0.035275208943706164	-0.18587694179862974	0.2233022600849873	-0.15884442670898022	-0.06445783337600716	-0.13420155950998566	0.24855151420807933	-0.11434995469809381	-0.09576698392067151	0.06752523901285018	0.028241744907821453	0.31315726733809834	0.28716494803227965	-0.6003222153703779	-0.053455513781405395	-0.11256580761173063	0.16602132139313608	-0.2438198633209684	0.10045622772268087	0.1433636355982877
