Sample_ID	643	671	745	915	680	940	1028	1124	1161	1192	1223	641	676	711	920	677	748	794	958	843	1087	1160	1189	751	829	1024	764	816	875	1022	640	667	716	970	790	1026	1097	1140
alpha-Muricholic acid	-0.010355528907266959	-0.3819391511995803	-0.15781189154626166	0.5501065716531088	0.730985664911132	-0.8762351066473613	0.14524944173622928	0.25381817588799266	-0.0378470779508361	-0.42943135710571134	0.21346025916855463	-0.03047414949165325	-0.35341255582997516	0.7511992539509617	-0.36731254862933305	-0.15333697331153995	-0.22820106380506025	0.33110368877086993	0.050434348345730184	0.9573148873731464	-0.39959626055110764	-0.44385079363897695	-0.113867833183062	-0.6428480645864388	-0.3359046898324738	0.9787527544189126	-0.4978861449063676	-0.4615433820236825	-0.3732198586919282	1.3326493856219783	0.4025557694770678	-0.17325179811872513	0.11287704229818027	-0.3421810136565228	0.491208437344298	-0.6304794542103107	0.6692668847550932	-0.5299958678890804
Cholic Acid	-0.42011789174921094	-0.8922937455344422	0.8661602637992419	0.4462513734844083	2.774655393128771	-2.3803569984855604	-0.39429839464321037	0.372043224122083	-0.32752440343699785	-0.601512360673567	0.5569935399884827	-1.2633061056708859	-2.1158270745536214	3.375452519446836	0.003680660777672137	-0.7140598579141544	-0.7699633020075327	1.5800888660783767	-0.09606570615668823	2.199256422066194	-0.7571178799661615	-0.6857441101556321	-0.7563944319444003	-0.7193760457735544	-1.5713765175826553	2.290752563356209	-0.05705154659924174	-1.2110122507357302	-2.1308791358009906	3.398942933135963	0.14486115265798508	-0.20339461567621128	0.8097772788949424	-0.7512438158767161	0.45469341006763314	-0.9287154871312328	1.559063459970729	-1.0850413829071293
Hyocholic acid	0.006247495306813955	-0.6595296642498182	-0.06986997559954973	0.7231521445425532	-0.15142315462138964	-0.20335192074184125	0.3547750753632313	0.25523677199915235	-0.025868488696336022	-0.3791362568498874	0.14976797354707116	0.08521540667042006	0.03878836945608001	0.008259876778957863	-0.1322636529054574	0.15490325560866916	-0.021369701706344762	-0.190661269918587	0.057127716016262556	0.6875822130260478	-0.5737147976624004	-0.09430245181487504	-0.01956496354877243	-0.5834048915213749	0.06196643891455875	0.5214384526068161	-0.45047510540323327	-0.19742788685548757	-0.06655299160385286	0.7144559838625737	0.5307058074720986	-0.19061373968831344	-0.08526991809404719	-0.2548221496897381	0.38348021119675624	-0.27625501293653665	0.10804475416560202	-0.21526995242582173
Lithocholic acid	0.5412644379149324	-1.274111131892788	-0.5113145058811213	1.2441611998589777	-0.5323980451962005	0.37928312461153574	0.15311492058466486	0.22999195920678178	-0.3156168317215008	0.09548350513421687	-0.009858632619498068	0.2173191995704409	0.36680514167239936	-0.17373241797165853	-0.4103919232711816	0.09612684796990754	-0.19643340222617248	-0.25660229661712997	0.35690885087339447	0.49731480742738393	-0.34789885101194146	-0.303766830172826	0.15435087375738332	-0.13080227798979563	0.32130361574521843	-0.1905013377554229	0.24888610266365221	-0.02420618729624774	0.2499043988002683	-0.4745843141676727	0.2598309542047568	-0.01669560309496325	-0.1800160959139326	-0.06311925519586117	0.23134611149198375	0.29915009520524105	-0.2829783321040922	-0.2475178745931325
Chenodiol	-0.3964077146372542	-0.679859063484912	-0.022207256763294925	1.0984740348854596	1.7433766378802826	-1.6026056761001144	-0.1407709617801685	0.5175282388331521	-0.08506688731956956	-0.42419039567391725	-0.008270955839664992	-0.324099215387231	-1.0919723173385265	1.7459701521112965	-0.329898619385538	-0.5296697959186282	0.3559084039237598	0.45274619346132056	-0.2789848014664511	1.04109749330566	-0.30338937565244095	-0.28673163278124336	-0.4509764848719763	-0.735158313511369	-0.7204758342075394	1.455634147718908	0.023148992951954734	-0.8962229148905305	-0.6032906066354947	1.4763645285740703	0.5806936059714276	-0.4202840128179124	0.5381050778777796	-0.6985146710312946	0.20801070844829495	-0.8121358486167035	1.2601798084034994	-0.6560546682350904
Deoxycholic Acid	-0.034533251502776724	-0.9217672512236186	-0.26235782024970344	1.2186583229760977	-0.048427762303668236	-0.2808864558669398	0.329314218170608	0.24195935221851692	-0.08283764277250906	-0.2347436498964382	0.0756219404504302	0.1637842208798434	-0.13383726947419727	-0.15009824538414845	0.12015129397850384	-0.17748905422915445	-0.6039880838772691	0.371617129596292	0.4098600085101312	0.7659741437298192	-0.3637964829071822	-0.29030606662553093	-0.11187159419710627	-0.16055712574010034	-0.16833719847266365	0.32889432421276393	-0.2578852201690865	0.08636515141857799	-0.23888704889271703	0.41040711764322574	0.32805695292163506	-0.10936557649349515	0.0951222475658988	-0.3138136239940388	0.30149360182379864	-0.31403631628003736	0.34687985437939095	-0.33433713992315217
Glycocholic acid	-0.47102240892247793	-0.5207011954098623	0.09380620064217265	0.8979174036901656	0.9060284323478955	-0.6703675490601869	-0.2356608832877086	0.297651192488519	-0.09738304252213752	-0.1629226347689299	-0.037345515197451516	-0.21649675043039324	-0.46484984678617286	0.9991853014182819	-0.3178387042017152	-0.5421157559229144	-0.20312208352212105	0.3130845025268208	0.43215333691821484	1.0368125644841322	-0.3622410892790307	-0.4501419648695589	-0.22442951033554265	-0.8516383747163604	-0.4960870342753251	1.3477254089916852	-0.7394259842184634	-0.2783269403403487	-0.7971994602144582	1.8149523847732705	0.13926382191872927	-0.18100827718673768	0.17952382505917683	-0.1377793697911684	1.4348305395469367	-0.3958176115275727	0.24811279310442624	-1.2871257211237899
Glycochenodeoxycholic acid	-0.27971233928517125	-0.046201230403213764	-0.20698942269175222	0.5329029923801359	1.5054551955353486	-0.6001922861965321	-0.9052629093388165	-0.18369865040955244	0.06123288346985067	0.06123288346985079	0.06123288346985074	-0.17759562159279293	-0.10787967735908933	0.5044141497665533	-0.21893885081467068	-0.050405723576680085	-0.050405723576680085	0.15121717073004037	-0.050405723576680085	0.14509743475976228	-0.04836581158658733	-0.04836581158658733	-0.04836581158658733	-0.9531684594864346	-0.2561718626118724	1.2093403220983068	-0.4947243196124386	-0.3940937933549806	-0.08795350674431655	0.9767716197117355	0.23566599098333216	-0.1863019606892282	0.11353140847785151	-0.16289543877195528	0.9259207084475071	-0.4747281035243481	0.0235354986011894	-0.4747281035243481
Glycodeoxycholic acid	-0.28670902220109845	-0.8242849857567366	0.06453191542541	1.0464620925324233	0.1307786585916528	-0.01936251923467443	-0.11141613935697815	0.33428954188407245	-0.296214712731912	-0.12006097765134996	0.08198614849918968	0.5755517059126132	-0.4110759417501697	-0.3014116404916157	0.13693587632917328	0.05833514231051749	-0.8345915138727276	0.28444612853174606	0.4918102430304641	0.17908854977107358	-0.2678695391163353	-0.20407489236084747	0.2928558817061092	-0.6561627443103314	0.039034203876413404	0.6171285404339181	-0.6488508520051269	-0.030755540758229085	0.08934527230730074	0.5902611204560556	0.27648662372546173	-0.18479258610684596	0.05447330284991507	-0.14616734046853105	1.230814415795934	-0.5722626075110988	-0.09019127780361941	-0.5683605304812156
