X_features	Y_features	association	p-values	q-values
Histidine	Histidine	1.0	0.0	0.0
Histidine	Taurine	0.7628476084538376	9.54030590868408e-07	7.649590737690326e-06
Histidine	Serine	-0.6124582869855395	0.0003214560097524894	0.0015928325876499757
Histidine	Glutamine	0.7806451612903226	3.6084227969856814e-07	3.536254341045968e-06
Histidine	Arginine	0.5279786438277941	0.0027108677481658757	0.00956394141552921
Histidine	Glycine	0.0011123470522803117	0.9953454226627734	0.9953454226627734
Histidine	Aspartic Acid	0.08921023359288098	0.6392134731711172	0.7398392381705532
Histidine	Threonine	-0.23915461624026696	0.2030855784509888	0.3256754185341311
Histidine	Alanine	-0.2961067853170189	0.11210685578908952	0.20345318272834767
Histidine	Gamma-Aminobutyric Acid	0.7699666295884315	6.533317983238668e-07	5.43621364265708e-06
Histidine	Proline	-0.25383759733036704	0.17588302295377553	0.29269589857590567
Histidine	L-ornithine	-0.07831794463859398	0.6808008571694866	0.7718076555571813
Histidine	Lysine	-0.2983314794215795	0.1093094946456558	0.2000227682105154
Histidine	Methionine	0.01579532814238042	0.9339760412024591	0.9601012451521783
Histidine	Valine	0.28720800889877635	0.1238315568442359	0.22109196991217828
Histidine	l-Isoleucine	-0.01579532814238042	0.9339760412024591	0.9601012451521783
Histidine	Leucine	0.06340378197997774	0.7392432671635975	0.8089485876405619
Histidine	Phenylalanine	0.49499443826473855	0.005419644177361214	0.0167137278476664
Histidine	Tryptophan	0.89321468298109	3.1614691837248274e-11	5.163733000083885e-10
Histidine	Glutamic Acid	0.8202447163515018	2.8913981205927435e-08	3.269504028670256e-07
Histidine	Tyrosine	0.10344827586206896	0.5864438659169561	0.7046914029138356
Taurine	Histidine	0.7628476084538376	9.54030590868408e-07	7.649590737690326e-06
Taurine	Taurine	1.0	0.0	0.0
Taurine	Serine	-0.5555061179087876	0.001438845264495688	0.0056153164747132596
Taurine	Glutamine	0.7521690767519467	1.6439666079850616e-06	1.2719110072305476e-05
Taurine	Arginine	0.16575814987429696	0.3813589469482651	0.5081661161113636
Taurine	Glycine	-0.19243604004449388	0.3083021583840029	0.43041128530952827
Taurine	Aspartic Acid	0.0020022246941045607	0.9916218614160739	0.9953454226627734
Taurine	Threonine	-0.5047830923248053	0.004443713226187153	0.014098399516176509
Taurine	Alanine	-0.49499443826473855	0.005419644177361214	0.0167137278476664
Taurine	Gamma-Aminobutyric Acid	0.6703003337041158	5.066311535406339e-05	0.00033346916225585006
Taurine	Proline	-0.40956618464961064	0.024602214878570946	0.05994241304668391
Taurine	L-ornithine	-0.2309489390194903	0.21948746833042965	0.3372612318248068
Taurine	Lysine	-0.5862068965517241	0.00066379594111312	0.0030178763920709886
Taurine	Methionine	-0.09410456062291435	0.6208609916262413	0.7321021812885705
Taurine	Valine	0.04872080088987764	0.7982076547859289	0.8606591094391067
Taurine	l-Isoleucine	-0.28231368186874306	0.13065345801091205	0.23139829310366353
Taurine	Leucine	-0.23781979977753054	0.2056944800012495	0.3274774934315922
Taurine	Phenylalanine	0.21379310344827587	0.256621454939998	0.37598027119115984
Taurine	Tryptophan	0.7708565072302558	6.225482348904756e-07	5.383211207582348e-06
Taurine	Glutamic Acid	0.5688542825361512	0.0010373837232275922	0.004441613805275419
Taurine	Tyrosine	-0.23337041156840932	0.21455668755863272	0.3372612318248068
Serine	Histidine	-0.6124582869855395	0.0003214560097524894	0.0015928325876499757
Serine	Taurine	-0.5555061179087876	0.001438845264495688	0.0056153164747132596
Serine	Serine	1.0	0.0	0.0
Serine	Glutamine	-0.40778642936596216	0.025294498027558527	0.06095559360739514
Serine	Arginine	-0.21114695869893665	0.2626951315449386	0.38233845878322753
Serine	Glycine	0.47897664071190205	0.007410037618992878	0.021358343725332414
Serine	Aspartic Acid	0.20978865406006672	0.2658489717443996	0.38439146406321384
Serine	Threonine	0.5403781979977753	0.0020514547662183304	0.007732406426515245
Serine	Alanine	0.5568409343715239	0.0013933881771764085	0.0056153164747132596
Serine	Gamma-Aminobutyric Acid	-0.8442714126807563	4.5398878878457955e-09	6.066941086484836e-08
