X_features	Y_features	association	p-values	q-values
alpha-Muricholic acid	alpha-Muricholic acid	1.0	0.0	0.0
alpha-Muricholic acid	Cholic acid	0.8246941045606229	2.0961701437308364e-08	6.626602389858772e-08
alpha-Muricholic acid	Hyocholic acid	0.7566184649610679	1.3148348922888611e-06	2.86341820987352e-06
alpha-Muricholic acid	Lithocholic acid	-0.1239154616240267	0.5141463019358128	0.5417885762334371
alpha-Muricholic acid	Chenodeoxycholic acid	0.8647385984427142	7.209803534076485e-10	3.0720032449543285e-09
alpha-Muricholic acid	Deoxycholic Acid	0.7018909899888766	1.5439721947599697e-05	3.087944389519939e-05
alpha-Muricholic acid	Glycocholic acid	0.8656284760845384	6.611232836997668e-10	2.9450037182989615e-09
alpha-Muricholic acid	Glycochenodeoxycholic acid	0.8552353875860988	1.7542281684017278e-09	6.876574420134773e-09
alpha-Muricholic acid	Glycodeoxycholic acid	0.6387096774193549	0.00014559771594433045	0.00027439569543354585
alpha-Muricholic acid	Glycolithocholic acid	0.13640409772502138	0.4723011803102847	0.5086320403341527
alpha-Muricholic acid	Taurocholic acid	0.7979977753058954	1.2781929559073136e-07	3.1315727419729186e-07
alpha-Muricholic acid	Taurochenodeoxycholic acid	0.8011123470522803	1.0498177317457819e-07	2.6380035310535033e-07
alpha-Muricholic acid	Taurolithocholic acid	0.8447163515016683	4.374279356031413e-09	1.5877013958928833e-08
alpha-Muricholic acid	Taurodeoxycholic acid	0.8794215795328141	1.5858072719095529e-10	8.633839591507565e-10
Cholic acid	alpha-Muricholic acid	0.8246941045606229	2.0961701437308364e-08	6.626602389858772e-08
Cholic acid	Cholic acid	1.0	0.0	0.0
Cholic acid	Hyocholic acid	0.4273637374860957	0.018494621452872093	0.026267723222919783
Cholic acid	Lithocholic acid	-0.35973303670745277	0.05087374850723393	0.06737334261768818
Cholic acid	Chenodeoxycholic acid	0.9310344827586206	8.815126124687518e-14	8.638823602193768e-13
Cholic acid	Deoxycholic Acid	0.5844271412680757	0.0006957002240238832	0.0012174753920417955
Cholic acid	Glycocholic acid	0.8473859844271412	3.491490981607335e-09	1.3160235238366108e-08
Cholic acid	Glycochenodeoxycholic acid	0.7128074281650467	9.880175102673501e-06	2.01720241679584e-05
Cholic acid	Glycodeoxycholic acid	0.33615127919911014	0.0693387690533294	0.09060265822968376
Cholic acid	Glycolithocholic acid	-0.03315531902288448	0.8619202575128473	0.8708060333634952
Cholic acid	Taurocholic acid	0.8700778642936596	4.246095406945042e-10	2.1677658359270234e-09
Cholic acid	Taurochenodeoxycholic acid	0.821579532814238	2.627882738383832e-08	7.804015404897442e-08
Cholic acid	Taurolithocholic acid	0.8852057842046718	8.26849730638639e-11	5.402084906839108e-10
Cholic acid	Taurodeoxycholic acid	0.8691879866518354	4.645212505557907e-10	2.1677658359270234e-09
Hyocholic acid	alpha-Muricholic acid	0.7566184649610679	1.3148348922888611e-06	2.86341820987352e-06
Hyocholic acid	Cholic acid	0.4273637374860957	0.018494621452872093	0.026267723222919783
Hyocholic acid	Hyocholic acid	1.0	0.0	0.0
Hyocholic acid	Lithocholic acid	0.30233592880978866	0.10440615960354473	0.13288056676814783
Hyocholic acid	Chenodeoxycholic acid	0.5488320355951056	0.001686024142466907	0.0028487994131337394
Hyocholic acid	Deoxycholic Acid	0.7877641824249165	2.3846579678028933e-07	5.43480188010892e-07
Hyocholic acid	Glycocholic acid	0.6209121245828698	0.0002510200909706367	0.00045555497990967407
Hyocholic acid	Glycochenodeoxycholic acid	0.6119951381373332	0.0003257753462083059	0.0005804724350620724
Hyocholic acid	Glycodeoxycholic acid	0.796662958843159	1.3892570347034688e-07	3.2415997476414275e-07
Hyocholic acid	Glycolithocholic acid	0.18780596815647316	0.32030752103514487	0.36080617312004826
Hyocholic acid	Taurocholic acid	0.46562847608453833	0.009512197230325245	0.014565552008935532
Hyocholic acid	Taurochenodeoxycholic acid	0.4602892102335928	0.010483454586281214	0.015805823837777833
Hyocholic acid	Taurolithocholic acid	0.49766407119021133	0.005136905718385833	0.008119625167771155
Hyocholic acid	Taurodeoxycholic acid	0.507007786429366	0.004244226903126436	0.006932237275106512
Lithocholic acid	alpha-Muricholic acid	-0.1239154616240267	0.5141463019358128	0.5417885762334371
Lithocholic acid	Cholic acid	-0.35973303670745277	0.05087374850723393	0.06737334261768818
Lithocholic acid	Hyocholic acid	0.30233592880978866	0.10440615960354473	0.13288056676814783
Lithocholic acid	Lithocholic acid	1.0	0.0	0.0
Lithocholic acid	Chenodeoxycholic acid	-0.2453837597330367	0.1912120764756317	0.23134300610631983
Lithocholic acid	Deoxycholic Acid	0.27341490545050057	0.14375611788896975	0.18061666093742354
Lithocholic acid	Glycocholic acid	-0.12480533926585094	0.5111055955366677	0.5417885762334371
