cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
90	Hyocholic acid	alpha-Muricholic acid	2.86341820987352e-06
91	Deoxycholic Acid	Glycocholic acid	8.023538449733903e-06
92	Glycocholic acid	Deoxycholic Acid	8.023538449733903e-06
93	Glycochenodeoxycholic acid	Taurocholic acid	1.0508259499318452e-05
94	Taurocholic acid	Glycochenodeoxycholic acid	1.0508259499318452e-05
95	Cholic acid	Glycochenodeoxycholic acid	2.01720241679584e-05
96	Glycochenodeoxycholic acid	Cholic acid	2.01720241679584e-05
97	alpha-Muricholic acid	Deoxycholic Acid	3.087944389519939e-05
98	Deoxycholic Acid	alpha-Muricholic acid	3.087944389519939e-05
99	Glycocholic acid	Glycodeoxycholic acid	0.00012732513152851875
100	Glycodeoxycholic acid	Glycocholic acid	0.00012732513152851875
101	Glycochenodeoxycholic acid	Glycodeoxycholic acid	0.00023438507812150095
102	Glycodeoxycholic acid	Glycochenodeoxycholic acid	0.00023438507812150095
103	alpha-Muricholic acid	Glycodeoxycholic acid	0.00027439569543354585
104	Glycodeoxycholic acid	alpha-Muricholic acid	0.00027439569543354585
105	Chenodeoxycholic acid	Deoxycholic Acid	0.00042296250871851705
106	Deoxycholic Acid	Chenodeoxycholic acid	0.00042296250871851705
107	Hyocholic acid	Glycocholic acid	0.00045555497990967407
108	Glycocholic acid	Hyocholic acid	0.00045555497990967407
109	Hyocholic acid	Glycochenodeoxycholic acid	0.0005804724350620724
110	Glycochenodeoxycholic acid	Hyocholic acid	0.0005804724350620724
111	Cholic acid	Deoxycholic Acid	0.0012174753920417955
112	Deoxycholic Acid	Cholic acid	0.0012174753920417955
113	Deoxycholic Acid	Glycochenodeoxycholic acid	0.0014159183478061833
114	Glycochenodeoxycholic acid	Deoxycholic Acid	0.0014159183478061833
115	Hyocholic acid	Chenodeoxycholic acid	0.0028487994131337394
116	Chenodeoxycholic acid	Hyocholic acid	0.0028487994131337394
117	Deoxycholic Acid	Taurocholic acid	0.0036953317929675914
118	Taurocholic acid	Deoxycholic Acid	0.0036953317929675914
119	Hyocholic acid	Taurodeoxycholic acid	0.006932237275106512
120	Taurodeoxycholic acid	Hyocholic acid	0.006932237275106512
121	Deoxycholic Acid	Taurodeoxycholic acid	0.007472372555583429
122	Taurodeoxycholic acid	Deoxycholic Acid	0.007472372555583429
123	Hyocholic acid	Taurolithocholic acid	0.008119625167771155
124	Taurolithocholic acid	Hyocholic acid	0.008119625167771155
125	Deoxycholic Acid	Taurolithocholic acid	0.014202996146366437
126	Taurolithocholic acid	Deoxycholic Acid	0.014202996146366437
127	Hyocholic acid	Taurocholic acid	0.014565552008935532
128	Taurocholic acid	Hyocholic acid	0.014565552008935532
129	Hyocholic acid	Taurochenodeoxycholic acid	0.015805823837777833
130	Taurochenodeoxycholic acid	Hyocholic acid	0.015805823837777833
131	Deoxycholic Acid	Taurochenodeoxycholic acid	0.01581833495425999
132	Taurochenodeoxycholic acid	Deoxycholic Acid	0.01581833495425999
133	Glycodeoxycholic acid	Taurodeoxycholic acid	0.024946041927768375
134	Taurodeoxycholic acid	Glycodeoxycholic acid	0.024946041927768375
135	Cholic acid	Hyocholic acid	0.026267723222919783
136	Hyocholic acid	Cholic acid	0.026267723222919783
137	Glycodeoxycholic acid	Taurolithocholic acid	0.026267723222919783
138	Taurolithocholic acid	Glycodeoxycholic acid	0.026267723222919783
139	Chenodeoxycholic acid	Glycodeoxycholic acid	0.03468333999921059
140	Glycodeoxycholic acid	Chenodeoxycholic acid	0.03468333999921059
141	Glycodeoxycholic acid	Taurocholic acid	0.03689060808304548
142	Taurocholic acid	Glycodeoxycholic acid	0.03689060808304548
143	Lithocholic acid	Glycolithocholic acid	0.03955086776296905
144	Glycolithocholic acid	Lithocholic acid	0.03955086776296905
145	Glycodeoxycholic acid	Taurochenodeoxycholic acid	0.040261640667256855
146	Taurochenodeoxycholic acid	Glycodeoxycholic acid	0.040261640667256855
